Identifier Code,Billing Code,Identifier Description,NYU Langone Long Island Gross Charges,NYU Langone Long Island Discounted Cash Price,AETNA HMO
6098820,C1874,STENT ULTRAFLEX AIRWAY UC 10MMX40MM,36851.61,7001.81,37994.01
6098821,C1874,STENT ULTRAFLEX AIRWAY UC 12MMX40MM,36851.61,7001.81,37994.01
6098822,C1874,STENT ULTRAFLEX AIRWAY UC 14MMX40MM,36851.61,7001.81,37994.01
6098824,C1874,STENT ULTRAFLEX AIRWAY CV 16MMX80MM,43865.48,8334.44,45225.31
6098825,C1874,STENT ULTRAFLEX AIRWAY CV 18MMX40MM,43865.48,8334.44,45225.31
6099612,C1874,STENT ZILVER PTX 8MM X 60MM,20249.78,3847.46,20877.52
6099642,C1874,STENT ION 3.5X12,20249.78,3847.46,20877.52
6099756,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 6X60MM,20249.78,3847.46,20877.52
6099757,C1874,STENT ZILVER PTX DRUG ELUTING 6MM X 80MM,24313.28,4619.52,25066.99
6099758,C1874,STENT ZILVER PTX DRUG ELUTING 6MM X 100MM,24313.28,4619.52,25066.99
6099759,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWEE 6X120MM,27022.28,5134.23,27859.97
6099760,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWEEL 7MM X 40MM,15915.38,3023.92,16408.75
6099761,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 7MM X 60MM,20249.78,3847.46,20877.52
6099762,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 7MM X 80MM,24313.28,4619.52,25066.99
6099763,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 7MM X 100MM,24313.28,4619.52,25066.99
6099764,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 7MM X 120MM,27022.28,5134.23,27859.97
6099765,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 8MM X 40MM,15915.38,3023.92,16408.75
6099766,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 8MM X 60MM,20249.78,3847.46,20877.52
6099767,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 8MM X 80MM,24313.28,4619.52,25066.99
6099768,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 8MM X 100MM,24313.28,4619.52,25066.99
6099769,C1874,STENT ZILVER PTX DRUG ELUTING THUMBWHEEL 8MM X 120MM,27022.28,5134.23,27859.97
6100661,C1874,STENT VASCULAR ZILVER PTX 7X80MM 035 6FRX130CM OTW DUAL SET,35149.28,6678.36,36238.9
6101054,C1874,GRAFT STENT FLAIR 7X40MM 035 9FRX120CM FLRD,35826.53,6807.04,36937.15
6102317,C1874,GRAFT TAA ZENITH ALPHA 32MM X 155MM ZTA-P-32-155-W,172515,32777.85,177862.97
6103212,C1874,GRAFT STENT ENDURANT II 20X20X82MM 16FR AAA ILC EXT DEL SYS,64017.06,12163.24,66001.58
6103236,C1874,GRAFT STENT VIABAHN HEP 8MMX10CM 035 7FRX100CM FEM ILC,47339.78,8994.56,48807.31
6103263,C1874,STENT ELUVIA DES SFA 7X120 130CM,-1,-1,-1
6103264,C1874,STENT ELUVIA DES SFA 7X150 130CM,-1,-1,-1
6103265,C1874,STENT ELUVIA DES SFA 6X120 130CM,-1,-1,-1
6103266,C1874,STENT ELUVIA DES SFA 6X150 130CM,-1,-1,-1
6103271,C1874,GRAFT STENT  BIFURCATED ENDURANT 25MMX13X124,128355.81,24387.6,132334.84
6103504,C1874,STENT ELUVIA DES SFA 6X40 130CM,-1,-1,-1
6103505,C1874,STENT ELUVIA DES SFA 6X40 75CM,-1,-1,-1
6103507,C1874,STENT ELUVIA DES SFA 6X60 75CM,-1,-1,-1
6103508,C1874,STENT ELUVIA DES SFA 6X80 130CM,-1,-1,-1
6103509,C1874,STENT ELUVIA DES SFA 6X80 75CM,-1,-1,-1
6103510,C1874,STENT ELUVIA DES SFA 7X60 75CM,-1,-1,-1
6103511,C1874,STENT ELUVIA DES SFA 7X80 75CM,-1,-1,-1
6103512,C1874,STENT ELUVIA DES SFA 6X100 130CM,-1,-1,-1
6103513,C1874,STENT ELUVIA DES SFA 6X100 75CM,-1,-1,-1
6103514,C1874,STENT ELUVIA DES SFA 6X120 75CM,-1,-1,-1
6103515,C1874,STENT ELUVIA DES SFA 6X150 75CM,-1,-1,-1
6103516,C1874,STENT ELUVIA DES SFA 7X100 130CM,-1,-1,-1
6103517,C1874,STENT ELUVIA DES SFA 7X100 75CM,-1,-1,-1
6103518,C1874,STENT ELUVIA DES SFA 7X120 75CM,-1,-1,-1
6103519,C1874,STENT ELUVIA DES SFA 7X150 75CM,-1,-1,-1
6103522,C1874,STENT ELUVIA DES SFA 7X40 130CM,-1,-1,-1
6103523,C1874,STENT ELUVIA DES SFA 7X40 75CM,-1,-1,-1
6103524,C1874,STENT ELUVIA DES SFA 7X60 130CM,-1,-1,-1
6103525,C1874,STENT ELUVIA DES SFA 7X80 130CM,-1,-1,-1
6104130,C1874,GRAFT TAA  31-32MM X 36MM X 161MM ZENITH ALPHA,172515,32777.85,177862.97
6104195,C1874,GRAFT STENT LIMB ENDURANT II 16MMX20MMX156CM,82353.6,15647.18,84906.56
6104227,C1874,STENT TRANSBRONCHIAL 14 X 20MM,30137.63,5726.15,31071.89
6104332,C1874,GRAFT TAA 40MM X 117CM ZENITH ALPHA ZTA-P-40-117-W,175854,33412.26,181305.47
6105096,C1874,GRAFT ZENITH FLEX AAA ENDOVAS MAIN BODY EXTENSION 36X50MM,27916.25,5304.09,28781.65
6105284,C1874,GRAFT STENT ENDURANT 23MMX14MMX103CM,128355.81,24387.6,132334.84
6105352,C1874,GRAFT TAA 46MM X 125 ZENITH ALPHA ZTA-P-46-125-W,172515,32777.85,177862.97
6105353,C1874,GRAFT TAA 46MM X 179 ZENITH ALPHA ZTA-P-46-179-W,172515,32777.85,177862.97
6105422,C1874,AXIOS ELECTROCAUTERY-ENHANCED 15X10MM,79441.43,15093.87,81904.11
6105439,C1874,GRAFT TAA 32MM X 201MM PROXIMAL ZENITH ALPHA ZTA-P-32-201-W,172515,32777.85,177862.97
6105440,C1874,GRAFT TAA 40MM X 147MM DISTAL ZENITH ALPHA ZTA-D-40-147-W,172515,32777.85,177862.97
6105954,C1874,GRAFT VIABAHN 11MM X 10CM,47136.6,8955.95,48597.83
6106434,C1874,STENT COR ION MNRL PCTXELTNG PLAT CHR 3X24MM RX DISP STER,20249.78,3847.46,20877.52
6106435,C1874,STENT COR ION MNRL PCTXELTNG PLAT CHR 3X28MM RX DISP STER,22146.08,4207.75,22832.6
6106436,C1874,STENT COR ION MNRL PCTXELTNG PLAT CHR 3X32MM RX DISP STER,20249.78,3847.46,20877.52
6106437,C1874,STENT COR ION MNRL PCTXELTNG PLAT CHR 4X32MM RX DISP STER,22146.08,4207.75,22832.6
6107069,C1874,STENT 8 X 20 AEROMINI TRACHEOBRONCHIAL,33185.25,6305.2,34213.99
6107251,C1874,AXIOS ELECTROCAUTERY-ENHANCED 10MMX10MM,79441.43,15093.87,81904.11
6107561,C1874,GRAFT VIABAHN 10MMX10CM 0.035 IN WIRE SYS,47488.77,9022.87,48960.92
6108906,C1874,GRAFT VIABAHN 7MM X 10CM 0.035IN WIRE,47488.77,9022.87,48960.92
6108907,C1874,GRAFT VIABAHN 7MM X 15CM 0.035IN WIRE,53069.31,10083.17,54714.46
6108979,C1874,STENT ULTRAFLEX AIRWAY CVR 10MMX40MM,43865.48,8334.44,45225.31
6109193,C1874,GRAFT VIABAHN 9MM X 15CM,54044.55,10268.46,55719.93
6109414,C1874,STENT ULTRAFLEX AIRWAY PC 20MMX80MM,43865.48,8334.44,45225.31
6109688,C1874,STENT 10 X 15 AEROMINI TRACHEOBRONCHIAL,33185.25,6305.2,34213.99
6110762,C1874,GRAFT VIABAHN 8MM X 7.5CM,49710.15,9444.93,51251.16
6110996,C1874,GRAFT TAA 26MM X 105MM ZENITH ALPHA ZTA-P-26-105-W,175854,33412.26,181305.47
6111034,C1874,GRAFT TAA 36MM X 113MM ZENITH ALPHA ZTA-P-36-113-W,175854,33412.26,181305.47
6111061,C1874,GRAFT TAA 28MM X 109MM ZENITH ALPHA ZTA-P-28-109-W,172515,32777.85,177862.97
6111062,C1874,GRAFT TAA 30MM X 155MM ZENITH ALPHA ZTA-P-30-155-W,172515,32777.85,177862.97
6111063,C1874,GRAFT TAA 32MM X 109MM ZENITH ALPHA ZTA-P-32-109-W,172515,32777.85,177862.97
6111064,C1874,GRAFT TAA 34MM X 161MM ZENITH ALPHA ZTA-P-34-161-W,172515,32777.85,177862.97
6111065,C1874,GRAFT TAA 38MM X 167MM ZENITH ALPHA ZTA-P-38-167-W,175854,33412.26,181305.47
6111066,C1874,GRAFT TAA 40MM X 117MM ZENITH ALPHA ZTA-P-40-117-W,175854,33412.26,181305.47
6111067,C1874,GRAFT TAA 42MM X 173MM ZENITH ALPHA ZTA-P-42-173-W,172515,32777.85,177862.97
6111068,C1874,GRAFT ENDO TAA 42X173MM ZENITH ALPHA ZTA-P-42-173-W,172515,32777.85,177862.97
6111069,C1874,GRAFT TAA 22MM X 105MM ZENITH ALPHA ZTA-P-22-105-W,172515,32777.85,177862.97
6111149,C1874,GRAFT VIABAHN 6MM X 25CM,91022.4,17294.26,93844.09
6111540,C1874,GRAFT STENT VIABAHN HEP 5MMX5CM 014/018 6FRX120CM FEM ILC,45443.48,8634.26,46852.22
6111951,C1874,GRAFT STENT CAPTIVA 28MMX100CM,159110.03,30230.91,164042.44
6111952,C1874,GRAFT STENT 23MM,44075.43,8374.33,45441.77
6112345,C1874,SYSTEM COR STNT 8MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112348,C1874,STENT DRUG ELUTING 3MM X 30MM RESOLUTE ONYX,20994.75,3989,21645.59
6112349,C1874,STENT DRUG ELUTING 3MM X 34MM RESOLUTE ONYX,20994.75,3989,21645.59
6112350,C1874,STENT DRUG ELUTING 3MM X 38MM RESOLUTE ONYX,20994.75,3989,21645.59
6112351,C1874,STENT DRUG ELUTING 3.5MM X 8MM RESOLUTE ONYX,20994.75,3989,21645.59
6112352,C1874,STENT DRUG ELUTING 3.5MM X 12MM RESOLUTE ONYX,20994.75,3989,21645.59
6112353,C1874,STENT DRUG ELUTING 3.5MM X 15MM RESOLUTE ONYX,20994.75,3989,21645.59
6112354,C1874,STENT DRUG ELUTING 3.5MM X 18MM RESOLUTE ONYX,20994.75,3989,21645.59
6112355,C1874,STENT DRUG ELUTING 3.5MM X 22MM RESOLUTE ONYX,20994.75,3989,21645.59
6112356,C1874,STENT DRUG ELUTING 3.5MM X 26MM RESOLUTE ONYX,20994.75,3989,21645.59
6112357,C1874,STENT DRUG ELUTING 3.5MM X 30MM RESOLUTE ONYX,20994.75,3989,21645.59
6112358,C1874,STENT DRUG ELUTING 3.5MM X 34MM RESOLUTE ONYX,20994.75,3989,21645.59
6112359,C1874,STENT DRUG ELUTING 3.5MM X 38MM RESOLUTE ONYX,20994.75,3989,21645.59
6112360,C1874,STENT DRUG ELUTING 4MM X 8MM RESOLUTE ONYX,20994.75,3989,21645.59
6112361,C1874,STENT DRUG ELUTING 4MM X 12MM RESOLUTE ONYX,20994.75,3989,21645.59
6112362,C1874,STENT DRUG ELUTING 4MM X 15MM RESOLUTE ONYX,20994.75,3989,21645.59
6112363,C1874,STENT DRUG ELUTING 4MM X 18MM RESOLUTE ONYX,20994.75,3989,21645.59
6112364,C1874,STENT DRUG ELUTING 4MM X 22MM RESOLUTE ONYX,20994.75,3989,21645.59
6112365,C1874,STENT DRUG ELUTING 4MM X 26MM RESOLUTE ONYX,20994.75,3989,21645.59
6112366,C1874,STENT DRUG ELUTING 4MM X 30MM RESOLUTE ONYX,20994.75,3989,21645.59
6112367,C1874,STENT DRUG ELUTING 4MM X 34MM RESOLUTE ONYX,20994.75,3989,21645.59
6112368,C1874,STENT DRUG ELUTING 4MM X 38MM RESOLUTE ONYX,20994.75,3989,21645.59
6112369,C1874,STENT DRUG ELUTING 4.5MM X 12MM RESOLUTE ONYX,20994.75,3989,21645.59
6112370,C1874,STENT DRUG ELUTING 4.5MM X 15MM RESOLUTE ONYX,20994.75,3989,21645.59
6112371,C1874,STENT DRUG ELUTING 4.5MM X 18MM RESOLUTE ONYX,20994.75,3989,21645.59
6112372,C1874,STENT DRUG ELUTING 4.5MM X 22MM RESOLUTE ONYX,20994.75,3989,21645.59
6112373,C1874,STENT DRUG ELUTING 4.5MM X 26MM RESOLUTE ONYX,20994.75,3989,21645.59
6112374,C1874,STENT DRUG ELUTING 4.5MM X 30MM RESOLUTE ONYX,20994.75,3989,21645.59
6112375,C1874,STENT DRUG ELUTING RESOLUTE ONYX 5X12MM,20994.75,3989,21645.59
6112376,C1874,STENT DRUG ELUTING 5MMX15MM RESOLUTE ONYX,20994.75,3989,21645.59
6112377,C1874,STENT DRUG ELUTING 5MM X 18MM RESOLUTE ONYX,20994.75,3989,21645.59
6112378,C1874,STENT DRUG ELUTING 5MM X 22MM RESOLUTE ONYX,20994.75,3989,21645.59
6112379,C1874,STENT DRUG ELUTING 5MM X 26MM RESOLUTE ONYX,20994.75,3989,21645.59
6112380,C1874,STENT DRUG ELUTING 5MM X 30MM RESOLUTE ONYX,20994.75,3989,21645.59
6112387,C1874,SYSTEM COR STNT 12MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112388,C1874,SYSTEM COR STNT 15MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112389,C1874,SYSTEM COR STNT 18MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112390,C1874,SYSTEM COR STNT 22MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112391,C1874,SYSTEM COR STNT 26MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112392,C1874,SYSTEM COR STNT 30MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112393,C1874,SYSTEM COR STNT 34MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112394,C1874,SYSTEM COR STNT 38MM 2.25MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112395,C1874,SYSTEM COR STNT 8MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112396,C1874,SYSTEM COR STNT 12MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112397,C1874,SYSTEM COR STNT 15MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112398,C1874,SYSTEM COR STNT 18MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112399,C1874,SYSTEM COR STNT 22MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112400,C1874,SYSTEM COR STNT 26MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112401,C1874,SYSTEM COR STNT 30MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112407,C1874,SYSTEM COR STNT 34MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112408,C1874,SYSTEM COR STNT 38MM 2.5MM RSLT ONYX SV BIOLINX ZOTAROLIMUS,17540.78,3332.75,18084.54
6112409,C1874,SYSTEM COR STNT 8MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112410,C1874,SYSTEM COR STNT 12MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112411,C1874,SYSTEM COR STNT 15MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112412,C1874,SYSTEM COR STNT 18MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112413,C1874,SYSTEM COR STNT 22MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112414,C1874,SYSTEM COR STNT 26MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112415,C1874,SYSTEM COR STNT 30MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112416,C1874,SYSTEM COR STNT 34MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112417,C1874,SYSTEM COR STNT 38MM 2.75MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112418,C1874,SYSTEM COR STNT 8MM 3MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112419,C1874,SYSTEM COR STNT 12MM 3MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112420,C1874,SYSTEM COR STNT 15MM 3MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112421,C1874,SYSTEM COR STNT 18MM 3MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112422,C1874,SYSTEM COR STNT 22MM 3MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112423,C1874,SYSTEM COR STNT 26MM 3MM RSLT ONYX MED VSL BIOLINX,17540.78,3332.75,18084.54
6112470,C1874,EVER FLEX ENTRUST 6X60X120,18773.37,3566.94,19355.34
6112471,C1874,EVER FLEX ENTRUST 6X80X120,32169.38,6112.18,33166.63
6112473,C1874,EVER FLEX ENTRUST 6X120X120,19443.85,3694.33,20046.61
6112474,C1874,STENT EVERFLEX ENTRUST 6X150MMX120CM,20114.33,3821.72,20737.87
6112476,C1874,EVER FLEX ENTRUST 7X40X120,19443.85,3694.33,20046.61
6112477,C1874,EVER FLEX ENTRUST 7X60X120,18773.37,3566.94,19355.34
6112480,C1874,EVER FLEX ENTRUST 7X120X120,19443.85,3694.33,20046.61
6112481,C1874,EVER FLEX ENTRUST 7X150X120,37248.75,7077.26,38403.46
6112483,C1874,EVER FLEX ENTRUST 8X40X120,19443.85,3694.33,20046.61
6112484,C1874,EVER FLEX ENTRUST 8X60X120,18773.37,3566.94,19355.34
6112666,C1874,GRAFT STENT EXCLDR 23X12MMX14CM 16 AAA TRUNK-IPSILAT C3,122630.34,23299.76,126431.88
6113172,C1874,STENT ULTRAFLEX AWY 14X80MM,43865.48,8334.44,45225.31
6113289,C1874,GRAFT STENT VIABAHN 7MMX25X120CM,91022.4,17294.26,93844.09
6113458,C1874,GRAFT TAA 34MM-30MM X 161MM ZENITH ALPHA ZTA-PT-34-30-161-W,172515,32777.85,177862.97
6113918,C1874,STENT ESOPH ALIMAXX 12X100MM,31153.5,5919.17,32119.26
6113919,C1874,STENT ESOPH ALIMAXX 14X70MM,31153.5,5919.17,32119.26
6113920,C1874,STENT ESOPH ALIMAXX 14X100MM,31153.5,5919.17,32119.26
6113923,C1874,STENT ESOPH ALIMAXX-E 12X70MM,31153.5,5919.17,32119.26
6114155,C1874,GRAFT TAA 34X113MM ZTA-P-34-113-W,175854,33412.26,181305.47
6114592,C1874,GRAFT TAA 24X105MM ZENITH ALPHA ZTA-P-24-105-W,172515,32777.85,177862.97
6114657,C1874,STENT COR ION MNRL PCTXELTNG PLAT CHR 3X16MM RX DISP STER,22146.08,4207.75,22832.6
6114682,C1874,STENT VASCULAR ZILVER PTX 6X40MM 035 6FRX130CM OTW DEL SYS,15915.38,3023.92,16408.75
6114758,C1874,STENT VIABAHN BLLN EXPND 6X39MMX135CM,43289.82,8225.07,44631.8
6114795,C1874,STENT VIATORR CONTROLLED 8-10MMX8/2CM,67047.75,12739.07,69126.23
6115029,C1874,STENT VIATORR CONTROLLED 8-10MM X 6/2CM,67047.75,12739.07,69126.23
6115030,C1874,STENT VIATORR CONTROLLED 8-10MM X 7/2CM,67047.75,12739.07,69126.23
6115800,C1874,STENT BLLN 7X59MM VIABAHN EXP 0.035IN,43289.82,8225.07,44631.8
6115809,C1874,STENT VASC 11MMX2.5CM VIABAHN,43289.82,8225.07,44631.8
6115810,C1874,GRAFT TAA 38-34MM TAPER X 217MM ZENITH ALPHA ZTAPT3834217W,172515,32777.85,177862.97
6116471,C1874,GRAFT STENT VIABAHN HEP 6MMX5CM,44075.43,8374.33,45441.77
6116497,C1874,STENT BILIARY VIABAHN ENDOPRS 10MMX8CM,32508,6176.52,33515.75
6117576,C1874,STENT GRAFT ENDOPRS VIABAHN 0.018 WIRE SYS 7MMX5CM,44630.78,8479.85,46014.33
6117580,C1874,GRAFT STENT VIABAHN HEP 9MMX5CM 035 9FRX120CM ANASTOMOSIS,42761.57,8124.7,44087.17
6117723,C1874,STENT COR ELUNIR 2.5X8 US,13206.38,2509.21,13615.77
6117724,C1874,STENT COR ELUNIR 2.5X12 US,13206.38,2509.21,13615.77
6117725,C1874,STENT COR ELUNIR 2.5X15 US,13206.38,2509.21,13615.77
6117726,C1874,STENT COR ELUNIR 2.5X17 US,13206.38,2509.21,13615.77
6117727,C1874,STENT COR ELUNIR 2.5X20 US,13206.38,2509.21,13615.77
6117728,C1874,STENT COR ELUNIR 2.5X24 US,13206.38,2509.21,13615.77
6117729,C1874,STENT COR ELUNIR 2.5X28 US,13206.38,2509.21,13615.77
6117730,C1874,STENT COR ELUNIR 2.5X33 US,13206.38,2509.21,13615.77
6117731,C1874,STENT COR ELUNIR 2.75X12 US,13206.38,2509.21,13615.77
6117732,C1874,STENT COR ELUNIR 2.75X15 US,13206.38,2509.21,13615.77
6117733,C1874,STENT COR ELUNIR 2.75X17 US,13206.38,2509.21,13615.77
6117734,C1874,STENT COR ELUNIR 2.75X20 US,13206.38,2509.21,13615.77
6117735,C1874,STENT COR ELUNIR 2.75X24 US,13206.38,2509.21,13615.77
6117736,C1874,STENT COR ELUNIR 2.75X28 US,13206.38,2509.21,13615.77
6117737,C1874,STENT COR ELUNIR 2.75X33 US,13206.38,2509.21,13615.77
6117738,C1874,STENT COR ELUNIR 3.0X8 US,13206.38,2509.21,13615.77
6117739,C1874,STENT COR ELUNIR 3.0X12 US,13206.38,2509.21,13615.77
6117740,C1874,STENT COR ELUNIR 3.0X15 US,13206.38,2509.21,13615.77
6117741,C1874,STENT COR ELUNIR 3.0X17 US,13206.38,2509.21,13615.77
6117742,C1874,STENT COR ELUNIR 3.0X20 US,13206.38,2509.21,13615.77
6117743,C1874,STENT COR ELUNIR 3.0X24 US,13206.38,2509.21,13615.77
6117744,C1874,STENT COR ELUNIR 3.0X28 US,13206.38,2509.21,13615.77
6117745,C1874,STENT COR ELUNIR 3.0X33 US,13206.38,2509.21,13615.77
6117746,C1874,STENT COR ELUNIR 3.5X8 US,13206.38,2509.21,13615.77
6117747,C1874,STENT COR ELUNIR 3.5X12 US,13206.38,2509.21,13615.77
6117748,C1874,STENT COR ELUNIR 3.5X15 US,13206.38,2509.21,13615.77
6117749,C1874,STENT COR ELUNIR 3.5X17 US,13206.38,2509.21,13615.77
6117750,C1874,STENT COR ELUNIR 3.5X20 US,13206.38,2509.21,13615.77
6117751,C1874,STENT COR ELUNIR 3.5X24 US,13206.38,2509.21,13615.77
6117752,C1874,STENT COR ELUNIR 3.5X28 US,13206.38,2509.21,13615.77
6117753,C1874,STENT COR ELUNIR 3.5X33 US,13206.38,2509.21,13615.77
6117754,C1874,STENT COR ELUNIR 4.0X8 US,13206.38,2509.21,13615.77
6117755,C1874,STENT COR ELUNIR 4.0X12 US,13206.38,2509.21,13615.77
6117756,C1874,STENT COR ELUNIR 4.0X15 US,13206.38,2509.21,13615.77
6117757,C1874,STENT COR ELUNIR 4.0X17 US,13206.38,2509.21,13615.77
6117758,C1874,STENT COR ELUNIR 4.0X20 US,13206.38,2509.21,13615.77
6117759,C1874,STENT COR ELUNIR 4.0X24 US,13206.38,2509.21,13615.77
6117760,C1874,STENT COR ELUNIR 4.0X28 US,13206.38,2509.21,13615.77
6117761,C1874,STENT COR ELUNIR 4.0X33 US,13206.38,2509.21,13615.77
6117793,C1874,STENT COR ELUNIR 2.75X8 US,13206.38,2509.21,13615.77
6117975,C1874,STENT TTS ESOPH FULLY CVRD 20X120MM,30476.25,5790.49,31421.01
6118166,C1874,GRAFT TAA 40X167MM ZENITH ALPHA ZTA-P-40-167-W,172515,32777.85,177862.97
6118579,C1874,GRAFT STENT ENDOVAS VALIANT 28X28X100MM,190941.83,36278.95,196861.02
6118637,C1874,STENT BIL FULLY CVRD H 8MMX6CM,32508,6176.52,33515.75
6118638,C1874,STENT BIL FULLY CVRD H 8MMX8CM,32508,6176.52,33515.75
6118639,C1874,STENT BIL FULLY CVRD H 8MMX10CM,32508,6176.52,33515.75
6118640,C1874,STENT BIL FULLY CVRD H 10MMX6CM,32508,6176.52,33515.75
6118641,C1874,STENT BIL FULLY CVRD H 10MMX10CM,32508,6176.52,33515.75
6118642,C1874,STENT BIL FULLY CVRD H ANCHOR FINS 8MMX6CM,32508,6176.52,33515.75
6118643,C1874,STENT BIL FULLY CVRD H ANCHOR FINS 8MMX8CM,32508,6176.52,33515.75
6118644,C1874,STENT BIL FULLY CVRD H ANCHOR FINS 8MMX10CM,32508,6176.52,33515.75
6118645,C1874,STENT BIL FULLY CVRD H ANCHOR FINS 10MMX4CM,32508,6176.52,33515.75
6118646,C1874,STENT BIL FULLY CVRD H ANCHOR FINS 10MMX6CM,32508,6176.52,33515.75
6118647,C1874,STENT BIL FULLY CVRD H ANCHOR FINS 10MMX10CM,32508,6176.52,33515.75
6118648,C1874,STENT BIL FULLY CVRD SELF EXPANDING SHT WIRE 8MMX8CM,32508,6176.52,33515.75
6118649,C1874,STENT BIL FULLY CVRD SELF EXPANDING SHT 8MMX10CM,32508,6176.52,33515.75
6118650,C1874,STENT BIL FULLY CVRD SELF EXPANDING SHT 10MMX8CM,32508,6176.52,33515.75
6118651,C1874,STENT BIL FULLY CVRD SELF EXPANDING SHT 10MMX10CM,32508,6176.52,33515.75
6118652,C1874,STENT BIL FULLY CVRD SHT WIRE 8MMX10CM,32508,6176.52,33515.75
6118654,C1874,STENT BIL FULLY CVRD SHT WIRE 10MMX6CM,32508,6176.52,33515.75
6118655,C1874,STENT BIL FULLY CVRD SHT WIRE 10MMX8CM,32508,6176.52,33515.75
6118656,C1874,STENT BIL FULLY CVRD SHT WIRE10MMX10CM,32508,6176.52,33515.75
6118657,C1874,STENT BIL FULLY CVRD ANCHOR FINS 10MMX8CM,32508,6176.52,33515.75
6118960,C1874,STENT ZILVER PTX DRUG ELUTING 6X140MMX125CM,32440.28,6163.65,33445.92
6118961,C1874,STENT ZILVER PTX 7MMX140MM,32440.28,6163.65,33445.92
6119083,C1874,STENT RESOLUTE ONYX 2.0X26MM,16457.18,3126.86,16967.35
6119084,C1874,STENT RESOLUTE ONYX 2.0X30MM,16457.18,3126.86,16967.35
6119244,C1874,CATH VASC VIABAHN ENDOPROS 8MMX2.5X120CM,44630.78,8479.85,46014.33
6119302,C1874,STENT RESOLUTE ONYX 2.00X15MM,16457.18,3126.86,16967.35
6119785,C1874,STENT GRAFT VIABAHN BLLN EXPAND 7X19MM,42761.57,8124.7,44087.17
6119786,C1874,STENT GRAFT VIABAHN BLLN EXPAND 7X29MM,43289.82,8225.07,44631.8
6119787,C1874,STENT GRAFT VIABAHN BLLN EXPAND 7X39MM,43289.82,8225.07,44631.8
